unit	cluster	hap1	hap2	purity	score
1228	1	1	34	0.9714	156.3509
177	1	0	26	1.0000	196.7534
171	0	0	36	1.0000	252.1231
1166	1	25	1	0.9615	56.4227
1396	0	16	0	1.0000	0.0000
715	0	0	23	1.0000	245.7978
1176	0	30	1	0.9677	761.4675
586	0	27	27	0.5000	0.0000
1222	1	27	0	1.0000	412.0245
1049	0	0	28	1.0000	214.3492
1629	0	23	0	1.0000	0.0000
990	1	1	3	0.7500	54.9302
155	0	24	0	1.0000	330.3314
1589	1	29	0	1.0000	192.3500
109	0	0	33	1.0000	199.6128
922	0	1	20	0.9524	76.8886
750	1	0	24	1.0000	74.1625
903	0	0	41	1.0000	0.0000
1227	0	26	0	1.0000	148.9582
239	1	20	0	1.0000	67.5368
1020	1	38	1	0.9744	61.7360
1884	0	23	22	0.5111	0.0000
213	0	26	0	1.0000	64.6927
1073	0	22	0	1.0000	0.0000
465	1	24	0	1.0000	94.2438
1841	1	2	5	0.7143	45.0675
1521	0	29	3	0.9062	61.1666
1872	0	0	18	1.0000	59.1790
249	0	0	19	1.0000	89.5499
43	0	35	0	1.0000	0.0000
668	0	34	1	0.9714	138.3509
1823	0	18	18	0.5000	0.0000
1292	0	32	0	1.0000	234.2503
1480	0	0	21	1.0000	0.0000
1614	0	22	0	1.0000	203.7068
1500	1	21	0	1.0000	69.1112
1388	0	0	22	1.0000	265.9155
546	2	0	28	1.0000	621.8635
938	1	22	0	1.0000	156.2048
1420	0	23	7	0.7667	55.2119
6	0	1	18	0.9474	34.4473
996	1	0	26	1.0000	352.0094
1282	0	29	17	0.6304	56.5399
1754	1	0	25	1.0000	271.3377
1512	1	20	0	1.0000	342.2093
344	0	2	28	0.9333	58.2882
1467	0	0	27	1.0000	327.1144
1323	1	26	5	0.8387	87.2468
542	1	0	21	1.0000	316.0341
719	0	20	0	1.0000	286.3196
890	1	15	8	0.6522	75.2593
613	0	29	0	1.0000	223.7510
680	1	0	29	1.0000	60.8825
1824	0	13	12	0.5200	0.0000
1516	1	0	18	1.0000	234.4209
710	1	0	25	1.0000	247.6513
428	0	32	1	0.9697	66.0787
593	1	0	24	1.0000	46.0897
1782	0	15	13	0.5357	0.0000
1015	0	1	28	0.9655	335.7450
1042	1	0	19	1.0000	47.8434
801	0	16	0	1.0000	0.0000
1626	1	0	21	1.0000	222.3001
1590	0	29	0	1.0000	41.0645
876	0	15	32	0.6809	111.8572
931	0	19	26	0.5778	93.9038
1553	0	0	17	1.0000	194.5428
87	1	27	1	0.9643	177.6085
1645	0	0	16	1.0000	200.0521
1688	1	5	11	0.6875	50.9574
1676	0	26	5	0.8387	125.7376
1918	0	20	21	0.5122	0.0000
363	0	0	31	1.0000	0.0000
1376	0	0	19	1.0000	243.9700
1881	0	19	24	0.5581	0.0000
940	0	34	0	1.0000	71.9335
999	1	0	37	1.0000	198.0037
1342	0	31	22	0.5849	0.0000
273	0	1	25	0.9615	248.6712
1310	0	28	0	1.0000	178.0558
32	1	0	31	1.0000	507.9984
880	0	0	28	1.0000	102.9911
1519	0	25	32	0.5614	73.8975
225	0	0	24	1.0000	227.2508
689	1	37	0	1.0000	173.2981
1330	0	28	0	1.0000	70.7476
1193	0	22	2	0.9167	76.9379
1192	1	0	23	1.0000	268.9875
1075	0	19	0	1.0000	0.0000
1540	0	0	37	1.0000	159.8671
1208	0	0	15	1.0000	298.0216
156	1	20	0	1.0000	220.8557
197	0	28	26	0.5185	0.0000
995	0	25	0	1.0000	240.2797
311	1	25	0	1.0000	152.1543
490	1	0	38	1.0000	285.2705
1866	0	24	31	0.5636	0.0000
1765	1	1	27	0.9643	150.0695
437	0	33	1	0.9706	252.4033
1241	1	30	0	1.0000	272.9305
474	0	28	0	1.0000	140.1228
401	1	28	0	1.0000	66.6231
1326	1	2	28	0.9333	44.4796
1543	0	0	17	1.0000	123.8821
1511	0	24	0	1.0000	256.8052
1114	0	0	19	1.0000	286.6766
1280	1	30	2	0.9375	95.5549
1367	1	0	31	1.0000	185.5766
610	1	32	0	1.0000	347.2184
572	1	21	0	1.0000	339.4994
109	1	27	1	0.9643	199.6128
58	1	21	0	1.0000	200.8506
556	0	34	0	1.0000	55.0892
1850	0	18	16	0.5294	0.0000
1406	0	0	20	1.0000	0.0000
540	1	20	0	1.0000	175.9237
1748	1	0	18	1.0000	198.6858
1628	1	2	24	0.9231	32.8740
200	0	0	23	1.0000	3372.0492
1294	1	29	0	1.0000	294.0199
1161	0	0	37	1.0000	97.7058
1302	0	0	37	1.0000	318.0278
1743	0	12	8	0.6000	68.3667
76	0	0	26	1.0000	277.8342
1142	0	0	24	1.0000	280.7622
1454	0	1	4	0.8000	83.2364
1679	1	21	0	1.0000	344.1690
447	0	0	19	1.0000	189.6809
643	1	24	4	0.8571	101.6078
1811	0	22	14	0.6111	0.0000
103	0	24	0	1.0000	223.7649
193	0	33	22	0.6000	0.0000
982	1	0	23	1.0000	228.3189
88	1	19	1	0.9500	45.1290
1437	0	17	16	0.5152	396.6533
1143	1	1	24	0.9600	98.8957
1086	0	4	3	0.5714	85.3594
272	0	0	26	1.0000	207.9522
1013	0	27	0	1.0000	301.6627
904	0	0	33	1.0000	0.0000
690	0	1	22	0.9565	50.9569
797	0	4	1	0.8000	64.2902
441	1	26	7	0.7879	75.7280
1863	0	19	2	0.9048	48.8791
596	1	29	0	1.0000	420.8269
1237	1	35	0	1.0000	118.4397
803	1	30	22	0.5769	67.8788
1283	0	0	22	1.0000	76.3980
707	0	26	0	1.0000	269.9569
251	1	2	21	0.9130	40.6201
86	1	0	32	1.0000	362.2954
899	1	0	30	1.0000	442.4155
1361	1	0	27	1.0000	164.1256
594	0	20	0	1.0000	403.2597
1738	0	0	12	1.0000	44.4651
1739	1	24	0	1.0000	313.8956
1226	1	0	25	1.0000	285.7974
18	0	29	1	0.9667	77.2543
1744	1	6	0	1.0000	83.3406
1535	0	0	20	1.0000	209.6112
1289	1	1	28	0.9655	186.6571
418	0	0	29	1.0000	187.0800
317	1	32	0	1.0000	99.4240
1538	0	0	31	1.0000	152.0170
591	1	36	0	1.0000	62.2185
1255	0	22	0	1.0000	104.8113
436	1	21	0	1.0000	272.3699
280	1	5	19	0.7917	39.5368
1712	1	30	3	0.9091	64.2303
171	1	32	0	1.0000	252.1231
650	0	0	32	1.0000	286.1986
729	0	18	0	1.0000	229.7853
1173	0	31	2	0.9394	250.4350
1929	0	30	14	0.6818	49.5703
124	1	46	0	1.0000	188.4989
470	0	26	0	1.0000	169.3061
1071	1	1	16	0.9412	179.5958
997	1	0	31	1.0000	283.1685
99	0	30	28	0.5172	0.0000
1699	1	28	1	0.9655	88.3909
524	0	23	26	0.5306	65.1613
571	1	1	26	0.9630	166.7631
173	0	35	0	1.0000	312.5714
662	1	18	0	1.0000	57.7505
80	1	30	0	1.0000	310.3936
96	0	6	28	0.8235	52.0475
907	0	0	28	1.0000	0.0000
33	0	0	33	1.0000	419.5273
1709	0	0	24	1.0000	247.1690
324	1	9	7	0.5625	57.1818
19	0	20	8	0.7143	44.2832
986	0	29	27	0.5179	0.0000
1896	1	19	2	0.9048	43.4931
1007	0	0	31	1.0000	0.0000
1265	1	0	25	1.0000	152.9925
934	1	19	28	0.5957	60.3104
817	1	0	32	1.0000	281.1060
852	0	25	1	0.9615	153.6890
761	0	17	0	1.0000	178.3157
1145	1	30	0	1.0000	320.5706
1185	0	21	0	1.0000	124.2971
1296	0	0	19	1.0000	216.3697
53	0	26	0	1.0000	371.6902
841	3	30	0	1.0000	3458.8883
1013	1	0	26	1.0000	301.6627
91	0	28	0	1.0000	267.5688
1760	0	24	0	1.0000	297.4565
122	1	22	2	0.9167	116.1895
1035	1	0	26	1.0000	43.1517
1261	1	28	0	1.0000	401.4474
1643	0	0	34	1.0000	0.0000
167	1	30	3	0.9091	91.7590
1767	0	43	0	1.0000	0.0000
1560	1	0	27	1.0000	275.0678
1268	0	20	1	0.9524	166.8928
202	1	0	29	1.0000	321.8609
686	0	31	0	1.0000	313.4885
253	1	3	2	0.6000	100.7861
619	0	4	37	0.9024	64.9635
732	1	0	31	1.0000	330.1116
1499	0	0	32	1.0000	0.0000
116	0	12	12	0.5000	73.4636
1062	0	5	18	0.7826	64.5836
798	1	3	2	0.6000	71.9958
714	0	28	0	1.0000	247.1030
2	0	43	0	1.0000	0.0000
40	0	32	0	1.0000	446.4143
4	1	28	0	1.0000	209.0514
819	1	7	23	0.7667	54.5962
675	0	0	31	1.0000	298.1056
118	1	25	22	0.5319	70.5467
1780	0	25	17	0.5952	0.0000
114	0	26	22	0.5417	41.7485
1295	0	30	0	1.0000	202.9003
96	1	18	1	0.9474	52.0475
809	0	34	15	0.6939	0.0000
18	1	0	23	1.0000	77.2543
1115	1	24	0	1.0000	197.0621
531	0	9	25	0.7353	59.5858
1063	1	6	24	0.8000	60.9793
1203	0	1	29	0.9667	134.3427
411	1	27	0	1.0000	263.2248
93	0	30	0	1.0000	212.7438
1622	0	19	1	0.9500	78.8391
1049	1	22	0	1.0000	214.3492
951	0	1	31	0.9688	58.3177
25	1	23	0	1.0000	244.7704
846	1	0	18	1.0000	58.9111
386	0	1	31	0.9688	390.0518
449	0	27	0	1.0000	224.1433
129	1	32	0	1.0000	282.9445
741	0	26	0	1.0000	101.2615
1115	0	0	19	1.0000	197.0621
1298	1	18	3	0.8571	35.6036
939	1	31	0	1.0000	162.2233
1836	0	26	19	0.5778	0.0000
489	1	31	0	1.0000	219.3115
963	0	1	19	0.9500	65.6410
887	0	29	0	1.0000	258.7902
1863	1	0	15	1.0000	48.8791
665	1	0	21	1.0000	176.4641
528	0	0	24	1.0000	0.0000
1004	0	16	0	1.0000	173.6598
443	0	19	15	0.5588	44.9845
931	1	2	1	0.6667	93.9038
1678	1	23	0	1.0000	149.8381
770	0	18	0	1.0000	192.7496
1093	0	0	28	1.0000	0.0000
1736	0	30	0	1.0000	249.9317
185	0	31	25	0.5536	0.0000
139	0	18	0	1.0000	190.7508
1750	0	0	9	1.0000	159.7974
