unit	cluster	hap1	hap2	purity	score
630	0	27	18	0.6000	0.0000
357	0	0	27	1.0000	369.0666
1388	0	27	0	1.0000	265.9155
1634	0	0	38	1.0000	0.0000
901	1	0	33	1.0000	401.9602
73	1	8	13	0.6190	54.9679
103	0	0	24	1.0000	223.7649
1368	0	7	12	0.6316	53.5805
1686	0	23	0	1.0000	0.0000
438	0	0	30	1.0000	362.4537
1784	0	19	19	0.5000	0.0000
1442	0	1	24	0.9600	219.8351
1518	0	31	0	1.0000	0.0000
1486	0	36	36	0.5000	0.0000
1044	1	17	13	0.5667	44.0058
697	3	23	9	0.7188	1359.8404
1810	0	16	0	1.0000	0.0000
872	1	0	23	1.0000	89.4771
1096	1	0	27	1.0000	250.5315
1104	0	19	0	1.0000	0.0000
1295	1	0	20	1.0000	202.9003
1754	0	24	0	1.0000	271.3377
1875	0	17	9	0.6538	0.0000
1037	1	1	21	0.9545	130.7464
1441	1	21	23	0.5227	47.9391
974	1	24	1	0.9600	62.5295
1760	0	0	26	1.0000	297.4565
946	1	23	0	1.0000	129.3371
925	0	12	9	0.5714	51.4154
955	0	18	17	0.5143	51.2297
128	1	32	0	1.0000	280.7372
1697	1	0	26	1.0000	272.8356
1427	1	12	9	0.5714	136.7788
1106	0	0	30	1.0000	251.8957
515	0	9	11	0.5500	52.8619
163	1	24	3	0.8889	67.0693
894	1	10	12	0.5455	47.5105
1522	0	42	0	1.0000	0.0000
341	0	0	30	1.0000	384.4199
1600	1	24	0	1.0000	284.6161
1063	1	12	18	0.6000	60.9793
13	0	0	30	1.0000	405.0482
1750	0	30	0	1.0000	159.7974
889	0	22	9	0.7097	39.6931
848	1	0	40	1.0000	298.5827
571	1	41	1	0.9762	166.7631
1892	0	17	17	0.5000	0.0000
1542	0	25	0	1.0000	189.8848
1908	0	20	26	0.5652	0.0000
317	1	19	13	0.5938	99.4240
1210	0	32	0	1.0000	317.3664
1760	1	24	0	1.0000	297.4565
405	0	0	26	1.0000	282.5722
